0	0	-2.38724899245210E+02
0	1	4.04211886379450E+02
0	2	1.13497468817180E+02
0	6	-5.84576160480390E+00
0	22	-1.52854824131400E-04
0	32	-1.08667076953770E-06
1	0	-1.33917448726020E+01
1	1	4.32110391835590E+01
1	2	-5.40100671705060E+01
1	3	3.05358922039160E+01
1	4	-6.59647494236380E+00
1	10	9.39654008783630E-03
1	32	1.15736475053400E-07
2	10	-2.58586412820730E-05
2	32	-4.06443630847990E-09
3	10	6.64561861916350E-08
3	32	8.06707341030270E-11
4	32	-9.34777712139470E-13
5	32	5.82654420206010E-15
6	32	-1.50201859535030E-17

