# Table 21: coefficients and exponents of the backward equation T(p,h) for subregion
# 2b, IAPWS-IF97 Eq. (23).  Useful_pdfs/IAPWS_97.pdf
# columns: I   J   n
     0	   0	 1.48950410795160E+03
     0	   1	 7.43077983140340E+02
     0	   2	-9.77083187978370E+01
     0	  12	 2.47424647056740E+00
     0	  18	-6.32813200160260E-01
     0	  24	 1.13859521296580E+00
     0	  28	-4.78118636486250E-01
     0	  40	 8.52081234315440E-03
     1	   0	 9.37471473779320E-01
     1	   2	 3.35931186049160E+00
     1	   6	 3.38093556014540E+00
     1	  12	 1.68445396719040E-01
     1	  18	 7.38757452366950E-01
     1	  24	-4.71287374361860E-01
     1	  28	 1.50202731397070E-01
     1	  40	-2.17641142197500E-03
     2	   2	-2.18107553247610E-02
     2	   8	-1.08297844036770E-01
     2	  18	-4.63333246358120E-02
     2	  40	 7.12803519595510E-05
     3	   1	 1.10328317899990E-04
     3	   2	 1.89552483879020E-04
     3	  12	 3.08915411605370E-03
     3	  24	 1.35555045549490E-03
     4	   2	 2.86402374774560E-07
     4	  12	-1.07798573575120E-05
     4	  18	-7.64627124548140E-05
     4	  24	 1.40523928183160E-05
     4	  28	-3.10838143314340E-05
     4	  40	-1.03027382121030E-06
     5	  18	 2.82172816350400E-07
     5	  24	 1.27049022719450E-06
     5	  40	 7.38033534682920E-08
     6	  28	-1.10301392389090E-08
     7	   2	-8.14563652078330E-14
     7	  28	-2.51805456829620E-11
     9	   1	-1.75652339694070E-18
     9	  40	 8.69341563441630E-15
